datetime,open,high,low,close
2012-12-03 22:00:00,85.629,85.915,85.411,85.695
2012-12-04 22:00:00,85.694,86.247,85.653,86.135
2012-12-05 22:00:00,86.135,86.562,85.970,86.273
2012-12-06 22:00:00,86.274,86.701,86.085,86.473
2012-12-09 22:00:00,86.556,86.605,86.035,86.330
2012-12-10 22:00:00,86.331,86.949,86.148,86.939
2012-12-11 22:00:00,86.938,88.048,86.882,87.738
2012-12-12 22:00:00,87.740,88.293,87.674,87.993
2012-12-13 22:00:00,87.992,88.524,87.791,88.209
2012-12-16 22:00:00,88.905,88.908,88.066,88.434
2012-12-17 22:00:00,88.433,88.742,88.210,88.620
2012-12-18 22:00:00,88.622,88.866,87.876,88.055
2012-12-19 22:00:00,88.056,88.510,87.832,88.356
2012-12-20 22:00:00,88.357,88.472,87.522,87.601
2012-12-23 22:00:00,87.797,87.989,87.641,87.863
2012-12-25 22:00:00,88.365,88.832,88.339,88.627
2012-12-26 22:00:00,88.628,89.499,88.610,89.387
2012-12-27 22:00:00,89.388,89.805,89.015,89.025
2012-12-30 22:00:00,88.998,90.145,88.988,89.885
2012-12-31 22:00:00,90.067,90.261,89.910,90.009
2013-01-01 22:00:00,90.012,91.734,89.805,91.697
2013-01-02 22:00:00,91.693,91.700,91.100,91.430
2013-01-03 22:00:00,91.431,92.455,91.402,92.344
2013-01-06 22:00:00,92.813,92.819,91.745,91.876
2013-01-07 22:00:00,91.878,92.113,91.179,91.206
2013-01-08 22:00:00,91.203,92.537,91.201,92.476
2013-01-09 22:00:00,92.473,94.331,92.323,94.169
2013-01-10 22:00:00,94.175,94.495,93.772,93.934
2013-01-13 22:00:00,94.239,94.636,94.054,94.456
2013-01-14 22:00:00,94.455,94.622,93.094,93.783
2013-01-15 22:00:00,93.781,93.840,92.461,93.546
2013-01-16 22:00:00,93.548,94.980,92.528,94.825
2013-01-17 22:00:00,94.828,94.999,94.161,94.656
2013-01-20 22:00:00,94.675,94.758,93.930,94.407
2013-01-21 22:00:00,94.402,94.886,93.292,93.712
2013-01-22 22:00:00,93.711,93.783,92.793,93.251
2013-01-23 22:00:00,93.249,94.656,93.005,94.504
2013-01-24 22:00:00,94.504,95.080,94.331,94.730
2013-01-27 22:00:00,94.848,94.995,94.086,94.323
2013-01-28 22:00:00,94.321,95.036,94.169,94.975
2013-01-29 22:00:00,94.975,95.452,94.706,94.837
2013-01-30 22:00:00,94.837,95.712,94.245,95.679
2013-01-31 22:00:00,95.678,96.703,95.392,96.574
2013-02-03 22:00:00,96.697,97.068,95.956,96.083
2013-02-04 22:00:00,96.081,97.406,95.946,97.315
2013-02-05 22:00:00,97.316,97.344,96.097,96.391
2013-02-06 22:00:00,96.392,97.026,95.815,96.371
2013-02-07 22:00:00,96.370,96.386,95.123,95.605
2013-02-10 22:00:00,95.418,96.856,95.159,96.683
2013-02-11 22:00:00,96.684,96.861,95.787,96.113
2013-02-12 22:00:00,96.114,96.827,96.057,96.546
2013-02-13 22:00:00,96.545,96.964,95.975,96.248
2013-02-14 22:00:00,96.249,96.679,95.528,96.322
2013-02-17 22:00:00,96.475,96.912,96.451,96.734
2013-02-18 22:00:00,96.732,96.920,96.470,96.861
2013-02-19 22:00:00,96.859,97.060,95.831,96.118
2013-02-20 22:00:00,96.116,96.186,95.043,95.672
2013-02-21 22:00:00,95.673,96.558,95.620,96.379
2013-02-24 22:00:00,96.981,97.127,93.560,94.573
2013-02-25 22:00:00,94.577,95.287,93.043,94.016
2013-02-26 22:00:00,94.009,94.552,92.961,94.221
2013-02-27 22:00:00,94.222,95.096,94.098,94.653
2013-02-28 22:00:00,94.656,95.615,94.406,95.462
2013-03-03 22:00:00,95.412,95.502,94.446,95.267
2013-03-04 22:00:00,95.264,95.774,95.015,95.723
2013-03-05 22:00:00,95.719,96.384,95.628,96.110
2013-03-06 22:00:00,96.113,97.585,96.062,97.479
2013-03-07 22:00:00,97.480,98.952,97.356,98.198
2013-03-10 22:00:00,98.128,99.256,98.052,99.256
2013-03-11 22:00:00,99.257,99.568,98.468,98.905
2013-03-12 22:00:00,98.905,99.210,98.545,98.814
2013-03-13 22:00:00,98.819,99.972,98.811,99.683
2013-03-14 22:00:00,99.685,99.839,98.946,99.160
2013-03-17 22:00:00,98.284,99.343,97.720,99.105
2013-03-18 22:00:00,99.103,99.447,98.168,98.516
2013-03-19 22:00:00,98.513,99.774,98.284,99.629
2013-03-20 22:00:00,99.628,99.691,98.710,99.192
2013-03-21 22:00:00,99.200,99.209,98.348,98.642
2013-03-24 22:00:00,98.843,99.391,97.727,98.591
2013-03-25 22:00:00,98.594,99.186,98.244,99.172
2013-03-26 22:00:00,99.171,99.282,97.988,98.530
2013-03-27 22:00:00,98.528,98.664,97.809,98.166
2013-03-28 22:00:00,98.163,98.189,97.839,98.109
2013-03-31 21:00:00,98.126,98.246,97.049,97.151
2013-04-01 21:00:00,97.151,97.855,96.909,97.607
2013-04-02 21:00:00,97.607,98.101,96.989,97.333
2013-04-03 21:00:00,97.336,100.575,96.972,100.495
2013-04-04 21:00:00,100.490,101.728,99.768,101.246
2013-04-07 21:00:00,101.868,103.606,101.666,103.595
2013-04-08 21:00:00,103.595,104.345,102.833,104.018
2013-04-09 21:00:00,104.012,105.266,103.699,105.211
2013-04-10 21:00:00,105.211,105.420,104.389,105.174
2013-04-11 21:00:00,105.173,105.203,103.056,103.317
2013-04-14 21:00:00,103.219,103.828,98.731,99.603
2013-04-15 21:00:00,99.613,101.867,99.584,101.538
2013-04-16 21:00:00,101.525,102.065,99.907,101.282
2013-04-17 21:00:00,101.282,101.793,100.267,101.191
2013-04-18 21:00:00,101.191,102.866,100.883,102.210
2013-04-21 21:00:00,102.518,102.929,101.336,101.978
2013-04-22 21:00:00,101.981,102.141,100.758,102.049
2013-04-23 21:00:00,102.053,102.517,101.531,102.294
2013-04-24 21:00:00,102.301,102.654,102.021,102.226
2013-04-25 21:00:00,102.226,102.451,100.303,100.701
2013-04-28 21:00:00,100.753,101.607,100.309,101.203
2013-04-29 21:00:00,101.203,101.539,100.506,100.910
2013-04-30 21:00:00,100.910,101.117,99.758,99.978
2013-05-01 21:00:00,99.983,100.904,99.283,100.320
2013-05-02 21:00:00,100.323,102.323,100.323,102.091
2013-05-05 21:00:00,102.176,102.190,101.423,101.821
2013-05-06 21:00:00,101.821,101.878,100.437,100.772
2013-05-07 21:00:00,100.776,101.013,100.399,100.677
2013-05-08 21:00:00,100.676,102.135,100.464,101.551
2013-05-09 21:00:00,101.551,102.062,101.320,101.810
2013-05-12 21:00:00,101.874,102.032,101.180,101.287
2013-05-13 21:00:00,101.287,101.447,100.678,101.199
2013-05-14 21:00:00,101.206,101.584,100.897,101.112
2013-05-15 21:00:00,101.119,101.324,100.241,100.378
2013-05-16 21:00:00,100.379,100.557,99.594,100.397
2013-05-19 21:00:00,100.171,100.559,100.049,100.267
2013-05-20 21:00:00,100.275,100.935,100.133,100.482
2013-05-21 21:00:00,100.474,100.958,99.500,99.913
2013-05-22 21:00:00,99.906,100.044,97.296,99.320
2013-05-23 21:00:00,99.322,99.354,97.130,97.621
2013-05-26 21:00:00,97.710,97.710,96.961,97.384
2013-05-27 21:00:00,97.384,99.068,97.283,98.245
2013-05-28 21:00:00,98.260,98.293,97.045,97.420
2013-05-29 21:00:00,97.419,97.960,96.965,97.334
2013-05-30 21:00:00,97.344,97.914,96.061,96.070
2013-06-02 21:00:00,96.552,97.240,96.251,97.150
2013-06-03 21:00:00,97.143,97.365,96.152,96.531
2013-06-04 21:00:00,96.532,96.802,94.223,94.507
2013-06-05 21:00:00,94.507,94.644,92.546,93.031
2013-06-06 21:00:00,93.033,93.245,90.526,92.599
2013-06-09 21:00:00,92.012,93.790,91.905,93.446
2013-06-10 21:00:00,93.444,93.685,89.994,90.497
2013-06-11 21:00:00,90.495,92.493,90.453,91.031
2013-06-12 21:00:00,91.028,92.161,88.937,91.903
2013-06-13 21:00:00,92.290,92.296,89.952,89.952
2013-06-16 21:00:00,90.140,91.553,90.102,90.389
2013-06-17 21:00:00,90.400,90.728,89.830,90.469
2013-06-18 21:00:00,90.478,91.178,89.245,89.347
2013-06-19 21:00:00,89.344,90.431,89.097,89.561
2013-06-20 21:00:00,89.573,90.533,89.146,90.214
2013-06-23 21:00:00,90.467,91.056,89.599,90.400
2013-06-24 21:00:00,90.397,90.760,89.569,90.690
2013-06-25 21:00:00,90.690,91.142,90.207,90.714
2013-06-26 21:00:00,90.644,91.637,90.588,91.198
2013-06-27 21:00:00,91.202,91.668,90.456,90.494
2013-06-30 21:00:00,90.581,92.233,90.536,91.998
2013-07-01 21:00:00,92.000,92.160,91.301,92.027
2013-07-02 21:00:00,92.030,92.414,90.151,90.792
2013-07-03 21:00:00,90.792,91.841,90.527,91.503
2013-07-04 21:00:00,91.527,92.195,91.239,91.659
2013-07-07 21:00:00,91.687,92.346,91.382,92.136
2013-07-08 21:00:00,92.115,93.070,91.772,92.716
2013-07-09 21:00:00,92.717,92.916,91.075,91.789
2013-07-10 21:00:00,91.772,92.029,90.094,90.823
2013-07-11 21:00:00,90.822,91.023,89.690,89.721
2013-07-14 21:00:00,90.167,91.006,89.909,90.993
2013-07-15 21:00:00,90.994,91.891,90.780,91.625
2013-07-16 21:00:00,91.625,92.185,91.444,91.965
2013-07-17 21:00:00,91.961,92.252,91.588,92.174
2013-07-18 21:00:00,92.181,92.555,91.601,92.252
2013-07-21 21:00:00,92.117,92.564,91.865,92.080
2013-07-22 21:00:00,92.080,92.574,91.795,92.393
2013-07-23 21:00:00,92.399,92.733,91.672,91.881
2013-07-24 21:00:00,91.881,91.922,91.338,91.669
2013-07-25 21:00:00,91.669,91.921,90.569,91.002
2013-07-28 21:00:00,91.005,91.062,89.822,90.149
2013-07-29 21:00:00,90.151,90.301,88.682,88.893
2013-07-30 21:00:00,88.893,89.035,87.240,87.445
2013-07-31 21:00:00,87.445,88.967,87.366,88.887
2013-08-01 21:00:00,88.888,89.093,87.906,88.040
2013-08-04 21:00:00,88.187,88.234,87.474,87.756
2013-08-05 21:00:00,87.747,88.570,87.286,87.798
2013-08-06 21:00:00,87.794,87.828,86.405,86.666
2013-08-07 21:00:00,86.667,88.158,86.645,87.914
2013-08-08 21:00:00,87.912,88.767,87.783,88.482
2013-08-11 21:00:00,88.391,89.033,88.053,88.729
2013-08-12 21:00:00,88.726,89.646,88.510,89.385
2013-08-13 21:00:00,89.410,89.814,89.079,89.430
2013-08-14 21:00:00,89.430,90.070,88.734,88.871
2013-08-15 21:00:00,88.885,89.889,88.620,89.553
2013-08-18 21:00:00,89.687,90.124,88.836,89.011
2013-08-19 21:00:00,89.011,89.218,87.595,88.227
2013-08-20 21:00:00,88.226,88.460,87.540,87.691
2013-08-21 21:00:00,87.693,89.200,87.408,89.015
2013-08-22 21:00:00,89.017,89.408,88.896,89.032
2013-08-25 21:00:00,88.975,89.264,88.710,88.865
2013-08-26 21:00:00,88.875,88.965,86.930,87.101
2013-08-27 21:00:00,87.100,87.505,86.461,87.328
2013-08-28 21:00:00,87.335,88.001,87.275,87.716
2013-08-29 21:00:00,87.716,87.935,87.235,87.292
2013-09-01 21:00:00,87.828,89.511,87.741,89.347
2013-09-02 21:00:00,89.349,90.498,89.127,90.159
2013-09-03 21:00:00,90.165,91.565,89.988,91.393
2013-09-04 21:00:00,91.394,91.572,91.056,91.451
2013-09-05 21:00:00,91.451,91.463,90.641,90.949
2013-09-08 21:00:00,91.798,92.064,91.316,91.910
2013-09-09 21:00:00,91.913,93.566,91.853,93.456
2013-09-10 21:00:00,93.456,93.560,92.928,93.191
2013-09-11 21:00:00,93.191,93.258,91.725,92.146
2013-09-12 21:00:00,92.149,92.480,91.684,91.829
2013-09-15 21:00:00,92.356,92.811,92.169,92.339
2013-09-16 21:00:00,92.345,92.968,92.117,92.730
2013-09-17 21:00:00,92.737,93.369,92.421,93.181
2013-09-18 21:00:00,93.188,94.442,93.053,93.836
2013-09-19 21:00:00,93.833,94.096,93.255,93.266
2013-09-22 21:00:00,93.062,93.572,93.018,93.104
2013-09-23 21:00:00,93.113,93.381,92.240,92.668
2013-09-24 21:00:00,92.675,92.730,91.916,92.150
2013-09-25 21:00:00,92.153,93.010,92.043,92.678
2013-09-26 21:00:00,92.677,92.770,91.379,91.477
2013-09-29 21:00:00,91.005,91.893,90.735,91.581
2013-09-30 21:00:00,91.579,92.390,91.378,92.088
2013-10-01 21:00:00,92.088,92.196,90.797,91.403
2013-10-02 21:00:00,91.400,91.877,90.930,91.316
2013-10-03 21:00:00,91.316,92.019,91.289,91.955
2013-10-06 21:00:00,91.756,91.887,90.988,91.127
2013-10-07 21:00:00,91.136,92.199,91.056,91.261
2013-10-08 21:00:00,91.261,92.137,91.234,91.983
2013-10-09 21:00:00,91.986,93.028,91.792,92.983
2013-10-10 21:00:00,92.981,93.440,92.432,93.255
2013-10-13 21:00:00,92.648,93.663,92.648,93.627
2013-10-14 21:00:00,93.637,94.103,93.253,93.594
2013-10-15 21:00:00,93.592,94.469,93.267,94.422
2013-10-16 21:00:00,94.423,94.481,93.777,94.241
2013-10-17 21:00:00,94.245,94.670,94.148,94.549
2013-10-20 21:00:00,94.668,94.961,94.473,94.750
2013-10-21 21:00:00,94.753,95.680,94.704,95.228
2013-10-22 21:00:00,95.227,95.653,93.426,93.572
2013-10-23 21:00:00,93.571,94.355,93.178,93.575
2013-10-24 21:00:00,93.578,93.702,92.996,93.328
2013-10-27 22:00:00,93.492,93.973,93.149,93.157
2013-10-28 22:00:00,93.155,93.261,92.662,93.068
2013-10-29 22:00:00,93.070,93.512,92.847,93.222
2013-10-30 22:00:00,93.220,93.608,92.817,93.048
2013-10-31 22:00:00,93.046,93.372,92.731,93.055
2013-11-03 22:00:00,93.206,93.841,93.193,93.780
2013-11-04 22:00:00,93.782,93.865,92.977,93.586
2013-11-05 22:00:00,93.594,94.161,93.387,93.893
2013-11-06 22:00:00,93.901,94.089,92.339,92.836
2013-11-07 22:00:00,92.837,93.117,92.577,92.932
2013-11-10 22:00:00,93.018,93.062,92.723,92.740
2013-11-11 22:00:00,92.741,93.080,92.380,92.623
2013-11-12 22:00:00,92.625,93.014,92.308,92.814
2013-11-13 22:00:00,92.813,93.287,92.740,93.163
2013-11-14 22:00:00,93.168,94.003,93.143,93.820
2013-11-17 22:00:00,93.958,94.194,93.472,93.630
2013-11-18 22:00:00,93.630,94.479,93.317,94.457
2013-11-19 22:00:00,94.452,94.602,93.089,93.300
2013-11-20 22:00:00,93.300,93.754,92.916,93.377
2013-11-21 22:00:00,93.377,93.549,92.538,92.821
2013-11-24 22:00:00,92.842,93.339,92.770,93.179
2013-11-25 22:00:00,93.178,93.425,92.247,92.439
2013-11-26 22:00:00,92.443,92.984,92.270,92.787
2013-11-27 22:00:00,92.799,93.504,92.745,93.000
2013-11-28 22:00:00,93.003,93.576,92.744,93.252
2013-12-01 22:00:00,93.454,94.020,93.362,93.720
2013-12-02 22:00:00,93.721,93.970,93.127,93.528
2013-12-03 22:00:00,93.528,93.687,91.784,92.397
2013-12-04 22:00:00,92.397,92.619,91.912,92.222
2013-12-05 22:00:00,92.228,93.697,92.097,93.569
2013-12-08 22:00:00,93.997,94.145,93.501,93.732
2013-12-09 22:00:00,93.732,94.220,93.665,94.029
2013-12-10 22:00:00,94.029,94.138,92.570,92.603
2013-12-11 22:00:00,92.604,93.272,91.785,92.394
2013-12-12 22:00:00,92.411,92.943,92.069,92.433
2013-12-15 22:00:00,92.297,92.458,91.816,92.140
2013-12-16 22:00:00,92.140,92.298,91.218,91.464
2013-12-17 22:00:00,91.457,92.518,91.081,92.120
2013-12-18 22:00:00,92.126,92.429,91.697,92.283
2013-12-19 22:00:00,92.282,93.010,92.280,92.800
2013-12-22 22:00:00,92.808,93.104,92.769,92.968
2013-12-23 22:00:00,92.956,93.145,92.794,93.023
2013-12-25 22:00:00,93.087,93.291,92.961,93.032
2013-12-26 22:00:00,93.034,93.541,93.034,93.201
2013-12-29 22:00:00,93.140,93.763,93.072,93.507
2013-12-30 22:00:00,93.507,94.063,93.441,93.919
2013-12-31 22:00:00,93.485,93.715,93.482,93.658
2014-01-01 22:00:00,93.656,93.968,93.152,93.343
2014-01-02 22:00:00,93.351,94.039,92.893,93.746
2014-01-05 22:00:00,93.824,94.070,93.193,93.439
2014-01-06 22:00:00,93.439,93.538,92.990,93.274
2014-01-07 22:00:00,93.268,93.822,93.169,93.207
2014-01-08 22:00:00,93.208,93.425,92.931,93.196
2014-01-09 22:00:00,93.201,93.714,93.031,93.668
2014-01-12 22:00:00,93.558,93.852,93.178,93.315
2014-01-13 22:00:00,93.309,93.553,92.971,93.345
2014-01-14 22:00:00,93.342,93.418,92.728,93.111
2014-01-15 22:00:00,93.107,93.192,91.622,91.966
2014-01-16 22:00:00,91.983,92.106,91.403,91.574
2014-01-19 22:00:00,91.506,91.911,91.048,91.811
2014-01-20 22:00:00,91.812,92.429,91.544,91.784
2014-01-21 22:00:00,91.786,92.690,91.672,92.455
2014-01-22 22:00:00,92.456,92.615,90.228,90.487
2014-01-23 22:00:00,90.478,90.861,88.532,88.773
2014-01-26 22:00:00,88.728,90.075,88.583,89.630
2014-01-27 22:00:00,89.632,91.010,89.542,90.865
2014-01-28 22:00:00,90.860,91.111,89.025,89.237
2014-01-29 22:00:00,89.232,90.451,88.967,90.302
2014-01-30 22:00:00,90.305,90.729,88.856,89.255
2014-02-02 22:00:00,89.505,89.836,88.238,88.470
2014-02-03 22:00:00,88.460,90.894,88.258,90.599
2014-02-04 22:00:00,90.611,90.785,89.831,90.553
2014-02-05 22:00:00,90.549,91.643,90.520,91.249
2014-02-06 22:00:00,91.257,91.861,90.902,91.659
2014-02-09 22:00:00,91.841,91.856,90.925,91.401
2014-02-10 22:00:00,91.405,92.895,91.341,92.684
2014-02-11 22:00:00,92.681,92.970,92.295,92.432
2014-02-12 22:00:00,92.432,92.531,91.116,91.738
2014-02-13 22:00:00,91.744,92.291,91.328,91.930
2014-02-16 22:00:00,92.056,92.174,91.680,92.112
2014-02-17 22:00:00,92.113,92.979,92.033,92.352
2014-02-18 22:00:00,92.358,92.463,91.848,92.066
2014-02-19 22:00:00,92.075,92.326,91.065,92.199
2014-02-20 22:00:00,92.200,92.406,91.827,92.002
2014-02-23 22:00:00,92.004,92.744,91.575,92.590
2014-02-24 22:00:00,92.592,92.781,91.991,92.137
2014-02-25 22:00:00,92.135,92.369,91.586,91.691
2014-02-26 22:00:00,91.705,91.789,90.703,91.573
2014-02-27 22:00:00,91.581,91.607,90.685,90.814
2014-03-02 22:00:00,90.408,90.756,90.054,90.572
2014-03-03 22:00:00,90.575,91.605,90.487,91.547
2014-03-04 22:00:00,91.546,92.079,91.287,91.934
2014-03-05 22:00:00,91.931,93.868,91.869,93.610
2014-03-06 22:00:00,93.602,94.475,93.446,93.620
2014-03-09 22:00:00,93.416,93.607,92.892,93.229
2014-03-10 22:00:00,93.227,93.452,92.208,92.327
2014-03-11 22:00:00,92.327,92.458,91.648,92.370
2014-03-12 22:00:00,92.368,93.411,91.542,92.077
2014-03-13 22:00:00,92.078,92.083,91.295,91.518
2014-03-16 22:00:00,91.361,92.549,91.320,92.461
2014-03-17 22:00:00,92.461,92.809,91.923,92.561
2014-03-18 22:00:00,92.561,92.844,92.265,92.440
2014-03-19 22:00:00,92.440,92.712,92.124,92.510
2014-03-20 22:00:00,92.510,93.085,92.464,92.862
2014-03-23 22:00:00,92.980,93.554,92.587,93.329
2014-03-24 22:00:00,93.328,93.827,93.234,93.701
2014-03-25 22:00:00,93.696,94.692,93.643,94.074
2014-03-26 22:00:00,94.074,94.699,93.783,94.613
2014-03-27 22:00:00,94.612,95.239,94.560,95.074
2014-03-30 21:00:00,95.160,95.734,94.788,95.644
2014-03-31 21:00:00,95.644,96.052,95.394,95.780
2014-04-01 21:00:00,95.787,96.112,95.634,96.085
2014-04-02 21:00:00,96.085,96.134,95.659,95.901
2014-04-03 21:00:00,95.907,96.510,95.800,95.944
2014-04-06 21:00:00,95.936,96.052,95.332,95.509
2014-04-07 21:00:00,95.512,95.893,95.026,95.307
2014-04-08 21:00:00,95.307,95.788,95.194,95.678
2014-04-09 21:00:00,95.686,96.225,95.431,95.465
2014-04-10 21:00:00,95.466,95.699,95.054,95.462
2014-04-13 21:00:00,95.423,96.011,95.111,95.909
2014-04-14 21:00:00,95.911,95.999,94.832,95.286
2014-04-15 21:00:00,95.287,96.021,95.159,95.779
2014-04-16 21:00:00,95.783,95.913,95.336,95.522
2014-04-17 21:00:00,95.522,95.657,95.492,95.567
2014-04-20 21:00:00,95.578,95.851,95.570,95.676
2014-04-21 21:00:00,95.678,96.181,95.663,96.062
2014-04-22 21:00:00,96.065,96.243,94.809,95.221
2014-04-23 21:00:00,95.227,95.317,94.555,94.727
2014-04-24 21:00:00,94.725,94.987,94.521,94.700
2014-04-27 21:00:00,94.704,95.233,94.579,94.910
2014-04-28 21:00:00,94.910,95.275,94.580,95.137
2014-04-29 21:00:00,95.137,95.268,94.620,94.914
2014-04-30 21:00:00,94.902,95.148,94.682,94.786
2014-05-01 21:00:00,94.791,95.041,94.586,94.761
2014-05-04 21:00:00,94.905,94.910,94.262,94.779
2014-05-05 21:00:00,94.778,95.173,94.589,95.046
2014-05-06 21:00:00,95.046,95.143,94.733,95.018
2014-05-07 21:00:00,95.020,95.656,94.915,95.231
2014-05-08 21:00:00,95.236,95.389,95.025,95.339
2014-05-11 21:00:00,95.297,95.717,95.270,95.634
2014-05-12 21:00:00,95.633,95.900,95.473,95.711
2014-05-13 21:00:00,95.712,96.106,95.347,95.495
2014-05-14 21:00:00,95.491,95.794,94.720,95.021
2014-05-15 21:00:00,95.024,95.164,94.806,95.006
2014-05-18 21:00:00,95.076,95.134,94.502,94.629
2014-05-19 21:00:00,94.630,94.732,93.556,93.620
2014-05-20 21:00:00,93.619,93.839,93.034,93.776
2014-05-21 21:00:00,93.775,94.355,93.471,93.860
2014-05-22 21:00:00,93.851,94.243,93.829,94.093
2014-05-25 21:00:00,94.147,94.257,94.079,94.167
2014-05-26 21:00:00,94.167,94.539,94.149,94.445
2014-05-27 21:00:00,94.445,94.491,93.722,94.000
2014-05-28 21:00:00,94.001,94.742,93.691,94.653
2014-05-29 21:00:00,94.654,94.793,94.432,94.710
2014-06-01 21:00:00,94.770,94.864,94.280,94.604
2014-06-02 21:00:00,94.611,95.065,94.505,95.014
2014-06-03 21:00:00,95.017,95.417,94.918,95.291
2014-06-04 21:00:00,95.291,95.694,94.946,95.613
2014-06-05 21:00:00,95.613,95.800,95.407,95.634
2014-06-08 21:00:00,95.776,95.943,95.735,95.890
2014-06-09 21:00:00,95.890,95.948,95.679,95.903
2014-06-10 21:00:00,95.905,96.121,95.665,95.721
2014-06-11 21:00:00,95.720,96.096,95.413,95.883
2014-06-12 21:00:00,95.883,96.143,95.609,95.905
